IES,Semestre,Materia,Disciplina,Ementa,,,
centro universitário do triângulo,4,enfermagem em centro cirúrgico e central de material,"enfermagem em clínica cirúrgica, central de material/esterilização e centro cirúrgico","assistência aos indivíduos hospitalizados com intercorrências cirúrgicas. planejamento, estruturação e organização de um centro cirúrgico. procedimentos para transporte, posicionamento, paramentação, limpeza de sala cirúrgica. apresentação de material, instrumental e equipamentos necessários na realização de uma cirurgia. atuação do profissional de enfermagem frente à segurança do paciente, controle de infecção. conceitos básicos de perioperatório. noções de anestesiologia e sala de recuperação pós-anestésica. central de esterilização, preparo e armazenamento. tanatologia, a enfermagem refletindo sobre a morte",617,,
centro universitário do triângulo,4,enfermagem em centro cirúrgico e central de material,enfermagem em cuidados críticos - terapia intensiva,assistência de enfermagem ao paciente internado em centro de terapia intensiva (cti). papel do enfermeiro em cti. tratamentos especiais. manejo de equipamentos específicos de cti. diagnóstico situacional da cti. fatores emocionais do paciente no cti. controle e prevenção de infecções hospitalares no cti. situações de emergência.,330,,3888
centro universitário do triângulo,5,ética e bioética em saúde,prática profissional da enfermagem,"compreender a evolução da enfermagem enquanto profissão institucionalizada, da sua origem aos tempos atuais, sob a ótica dos contextos sociocultural, político, ético e filosófico procurando entender seu significado enquanto ciência. implicações jurídicas dos códigos profissionais. código de ética dos profissionais de enfermagem. código de ética médica, os direitos dos clientes e o código de defesa do consumidor. declaração universal dos direitos do homem. paciente terminal, morte e eutanásia. suicídio e homicídio. segredo natural e profissional. políticas de reprodução humana. cremação, necropsia de cadáveres. transplantes e experimentos científicos. legislação do exercício profissional e de ensino de graduação, auxiliar e técnico de enfermagem. adquirir segurança ética nas situações de vida profissional.",816,,
centro universitário do triângulo,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,práticas clínicas i - atenção básica e secundária à saúde,"ensino clínico relacionado à assistência de enfermagem ao indivíduo na unidade hospitalar e atenção primária. enfoque na lógica organizacional do sistema único de saúde e modelos assistenciais de saúde. observação e execução de ações de enfermagem com ênfase em: ações de promoção á saúde de forma coletiva e individual, consulta de enfermagem e sae, ações de conforto, higiene e segurança, sondagens, documentação de enfermagem, identificação do papel do enfermeiro e a relação com equipe de trabalho, organização do trabalho, coleta de material, higiene brônquica, clister, preparo da unidade, admissão e alta. cuidados de enfermagem em ambulatórios. visita domiciliar. palestras envolvendo ações educativas para o autocuidado.",729,,
centro universitário do triângulo,3,enfermagem em saúde coletiva,práticas clínicas ii - atenção terciária à saúde,"ensino clínico em programas de saúde coletiva e nas instituições hospitalares. interface da atuação do enfermeiro no planejamento, programação e operacionalização das ações definidas nos programas de saúde. clínica geral e gestão em saúde, puericultura (acompanhamento do crescimento e desenvolvimento da criança), pré-natal (baixo risco). aleitamento materno. assistência ao parto e ações no alojamento conjunto. imunização. plano assistencial de enfermagem. planos de supervisão, de treinamento e de avaliação de pessoal de enfermagem.",537,,
centro universitário do triângulo,7,enfermagem em trauma e emergência,primeiros socorros,"desenvolver o conhecimento sobre técnicas de socorro básico empregadas em emergências domésticas e em via pública, compreendendo o mecanismo do uso das técnicas básicas. manejo e prevenção de acidentes.",202,,
centro universitário do triângulo,3,Semiologia e Semiotécnica Aplicada à Enfermagem,semiologia e semiotécnica,"processo metodológico da assistência de enfermagem. conceitos de semiologia, visando o atendimento integral do indivíduo. conhecimento, atitudes e habilidades para efetuar o diagnóstico de enfermagem e identificação de anormalidades clínicas através da entrevista, exame físico e técnicas propedêuticas.",303,,
centro universitário do triângulo,5,enfermagem em saúde do idoso,o adulto e o idoso na rede de atenção a saúde,desenvolvimento de ações de proteção à saúde do adulto e do idoso. a terceira idade - aspectos relevantes para a saúde.,119,,
centro universitário do triângulo,6,enfermagem em saúde da criança e do adolescente,o neonato e a criança na rede de atenção a saúde,saúde da criança. puericultura. planejamento da unidade neonatal e de internação pediátrica. assistência de enfermagem ao recém-nascido de parto normal e cirúrgico e ao rn de alto risco. assistência de enfermagem ao trinômio mãe-filho-pai. noções de aleitamento materno e imunização da criança hospitalizada. assistência de enfermagem à criança hospitalizada. patologias incidentes no período neonatal e infância. tecnologia adequada para o desenvolvimento da assistência à criança hospitalizada. sistematização da assistência de enfermagem.,541,,
centro universitário do triângulo,6,enfermagem em saúde da criança e do adolescente,saúde do adolescente e jovem nos três níveis de atenção a saúde,política de saúde da criança e do adolescente no sistema de saúde brasileiro. crescimento e desenvolvimento. puericultura. imunização. caracterização e avaliação da criança e do adolescente. aspectos epidemiológicos de morbimortalidade infantil. assistência sistematizada à criança e ao adolescente. estatuto da criança e do adolescente (eca). prática de investigação científica na área de saúde da criança e do adolescente.,424,,
